model_id,model,data_path,target,seed,seq_len,label_len,pred_len,d_model,n_heads,e_layers,d_layers,d_ff,dropout,loss,params,params_M,model_size_MB,test_loss_norm,mae_norm,rmse_norm,mape_norm,mae,rmse,mape,train_time_sec,test_time_sec,inference_time_per_sample_ms,checkpoint,loss_curve
OPSD_all_LSTM_seed2025,LSTM,./OPSD.csv,all,2025,168,48,24,256,8,2,1,512,0.1,mse,812104,0.812104,3.097930908203125,0.4603616197903951,0.4267417192459106,0.6725978255271912,340.4294738769531,290.4098815917969,463.93304443359375,178499056.0,25.285916328430176,0.0724003314971923,0.012821025588311,./checkpoints_baselines_OPSD\OPSD_all_LSTM_seed2025\best_model.pth,./results_baselines_OPSD\OPSD_all_LSTM_seed2025\loss_curve.png
OPSD_all_TCN_seed2025,TCN,./OPSD.csv,all,2025,168,48,24,256,8,2,1,512,0.1,mse,218952,0.218952,0.835235595703125,0.5054317017396291,0.4590362310409546,0.697117805480957,324.1579284667969,323.7092590332031,516.180908203125,236857792.0,25.77255606651306,0.0666379928588867,0.0118006008250197,./checkpoints_baselines_OPSD\OPSD_all_TCN_seed2025\best_model.pth,./results_baselines_OPSD\OPSD_all_TCN_seed2025\loss_curve.png
OPSD_all_Transformer_seed2025,Transformer,./OPSD.csv,all,2025,168,48,24,256,8,2,1,512,0.1,mse,1848835,1.848835,7.052745819091797,0.4725466271241506,0.4262153208255768,0.6811813116073608,329.64581298828125,291.21319580078125,465.8913269042969,126293728.0,68.63825798034668,0.2465600967407226,0.0436621386117801,./checkpoints_baselines_OPSD\OPSD_all_Transformer_seed2025\best_model.pth,./results_baselines_OPSD\OPSD_all_Transformer_seed2025\loss_curve.png
OPSD_all_Informer_seed2025,Informer,./OPSD.csv,all,2025,168,48,24,256,8,2,1,512,0.1,mse,2045187,2.045187,7.801769256591797,0.5048871835072836,0.4532237350940704,0.6968039274215698,268.8788452148437,316.64599609375,497.29693603515625,216359296.0,195.0238742828369,1.542762279510498,0.273200332833451,./checkpoints_baselines_OPSD\OPSD_all_Informer_seed2025\best_model.pth,./results_baselines_OPSD\OPSD_all_Informer_seed2025\loss_curve.png
OPSD_all_DLinear_seed2025,DLinear,./OPSD.csv,all,2025,168,48,24,256,8,2,1,512,0.1,mse,8112,0.008112,0.03094482421875,0.4109614690144856,0.4130993187427521,0.6401958465576172,248.64659118652344,294.98199462890625,464.0866088867188,213034304.0,7.436555624008179,0.0350420475006103,0.0062054272180999,./checkpoints_baselines_OPSD\OPSD_all_DLinear_seed2025\best_model.pth,./results_baselines_OPSD\OPSD_all_DLinear_seed2025\loss_curve.png
OPSD_all_iTransformer_seed2025,iTransformer,./OPSD.csv,all,2025,168,48,24,256,8,2,1,512,0.1,mse,1103640,1.10364,4.210052490234375,0.4458974997202555,0.4154075384140014,0.6562823057174683,266.5319519042969,269.2745361328125,428.044189453125,266219696.0,3.1720199584960938,0.0393218994140625,0.0069633255558814,./checkpoints_baselines_OPSD\OPSD_all_iTransformer_seed2025\best_model.pth,./results_baselines_OPSD\OPSD_all_iTransformer_seed2025\loss_curve.png
OPSD_all_PatchTST_seed2025,PatchTST,./OPSD.csv,all,2025,168,48,24,256,8,2,1,512,0.1,mse,1085256,1.085256,4.139923095703125,0.4003381133079529,0.3944616019725799,0.6255109906196594,256.049072265625,264.9053039550781,420.3895568847656,171053520.0,6.668621063232422,0.0510082244873046,0.0090328005112988,./checkpoints_baselines_OPSD\OPSD_all_PatchTST_seed2025\best_model.pth,./results_baselines_OPSD\OPSD_all_PatchTST_seed2025\loss_curve.png
OPSD_all_TimeMixer_seed2025,TimeMixer,./OPSD.csv,all,2025,168,48,24,256,8,2,1,512,0.1,mse,624333,0.624333,2.381641387939453,0.5251323183377584,0.4850875735282898,0.7114187479019165,347.404052734375,322.2789306640625,488.7032470703125,468290816.0,29.69060730934143,0.08561372756958,0.0151609221833858,./checkpoints_baselines_OPSD\OPSD_all_TimeMixer_seed2025\best_model.pth,./results_baselines_OPSD\OPSD_all_TimeMixer_seed2025\loss_curve.png
OPSD_all_FEDformer_seed2025,FEDformer,./OPSD.csv,all,2025,168,48,24,256,8,2,1,512,0.1,mse,2629123,2.629123,10.029308319091797,0.7400778432687124,0.6110833883285522,0.8517435193061829,440.1889343261719,474.0838623046875,717.310791015625,397479552.0,194.4939453601837,0.2536945343017578,0.0449255417569962,./checkpoints_baselines_OPSD\OPSD_all_FEDformer_seed2025\best_model.pth,./results_baselines_OPSD\OPSD_all_FEDformer_seed2025\loss_curve.png
OPSD_all_TimesNet_seed2025,TimesNet,./OPSD.csv,all,2025,168,48,24,256,8,2,1,512,0.1,mse,885762,0.885762,3.3789138793945312,0.6509321530659994,0.5670880079269409,0.7901233434677124,344.9756164550781,388.0049133300781,580.8621826171875,677646208.0,674.7398574352264,3.151275396347046,0.5580441643965018,./checkpoints_baselines_OPSD\OPSD_all_TimesNet_seed2025\best_model.pth,./results_baselines_OPSD\OPSD_all_TimesNet_seed2025\loss_curve.png
